Subject,Name,Hierarchy,Correct,Fact-id,RT,Question_type
4,patrick,False,False,26,1678.70068359375,Non-Species
4,patrick,False,False,22,3798.806640625,Non-Species
4,patrick,False,True,14,2414.923583984375,Non-Species
4,patrick,False,False,13,14534.652099609375,Non-Species
4,patrick,False,False,15,2630.55419921875,Non-Species
4,patrick,False,False,20,5551.0322265625,Non-Species
4,patrick,False,True,10,7027.869140625,Species
4,patrick,False,False,22,11440.96240234375,Non-Species
4,patrick,False,False,24,10993.87939453125,Non-Species
4,patrick,False,True,4,2693.230224609375,Species
4,patrick,False,False,26,2518.255859375,Non-Species
4,patrick,False,False,13,2247.438232421875,Non-Species
4,patrick,False,True,20,3393.259765625,Non-Species
4,patrick,False,True,10,35674.411865234375,Species
4,patrick,False,False,15,7208.568603515625,Non-Species
4,patrick,False,False,22,25895.40380859375,Non-Species
4,patrick,False,False,26,3913.753662109375,Non-Species
4,patrick,False,True,10,1752.896728515625,Species
4,patrick,False,True,14,3185.8681640625,Non-Species
4,patrick,False,False,24,6514.326904296875,Non-Species
4,patrick,False,True,20,2090.35205078125,Non-Species
4,patrick,False,False,4,1476.945068359375,Species
4,patrick,False,True,13,20848.48681640625,Non-Species
4,patrick,False,False,26,8478.997314453125,Non-Species
4,patrick,False,False,15,8855.046630859375,Non-Species
4,patrick,False,True,10,2238.947265625,Species
4,patrick,False,False,22,12727.367919921875,Non-Species
4,patrick,False,True,26,1445.95068359375,Non-Species
4,patrick,False,True,20,2562.318359375,Non-Species
4,patrick,False,False,25,2004.34521484375,Non-Species
4,patrick,False,False,12,4920.91748046875,Species
4,patrick,False,False,8,2626.383056640625,Species
4,patrick,False,False,25,57268.638916015625,Non-Species
4,patrick,False,False,12,6689.84423828125,Species
4,patrick,False,False,8,23438.649658203125,Species
4,patrick,False,True,26,8226.791259765625,Non-Species
4,patrick,False,False,10,20015.773681640625,Species
4,patrick,False,False,24,16580.772705078125,Non-Species
4,patrick,False,True,4,19993.615234375,Species
4,patrick,False,True,13,9802.30859375,Non-Species
4,patrick,False,False,15,24520.662109375,Non-Species
4,patrick,False,True,26,1322.454833984375,Non-Species
4,patrick,False,False,25,4852.727294921875,Non-Species
4,patrick,False,True,20,2610.966552734375,Non-Species
4,patrick,False,True,13,1946.5341796875,Non-Species
4,patrick,False,True,15,1575.0498046875,Non-Species
5,Cosmin,True,False,25,61171.546142578125,Non-Species
